Strain,Replicate,BioRep,TechRep,Treatment,OD,Person
y119,10,2,B,0,1.4239,M
y054,10,2,B,0,1.2685,M
y003,10,2,B,0,1.4406,M
y126,10,2,B,0,1.381,M
y119,11,2,A,0,1.422,M
y054,11,2,A,0,1.2864,M
y003,11,2,A,0,1.1836,M
y126,11,2,A,0,1.3899,M
y119,11,2,B,0,1.4212,M
y054,11,2,B,0,1.2614,M
y003,11,2,B,0,1.1844,M
y126,11,2,B,0,1.3766,M
y119,12,2,A,0,1.4218,M
y054,12,2,A,0,1.2918,M
y003,12,2,A,0,1.4246,M
y126,12,2,A,0,1.3689,M
y119,12,2,B,0,1.4234,M
y054,12,2,B,0,1.2764,M
y003,12,2,B,0,1.4454,M
y126,12,2,B,0,1.3862,M
y119,1,2,A,5,1.4385,M
y054,1,2,A,5,1.3548,M
y003,1,2,A,5,0.1096,M
y126,1,2,A,5,0.108,M
y119,1,2,B,5,1.3249,M
y054,1,2,B,5,1.3715,M
y003,1,2,B,5,0.1032,M
y126,1,2,B,5,0.1044,M
y119,2,2,A,5,1.4446,M
y054,2,2,A,5,1.3258,M
y003,2,2,A,5,1.289,M
y126,2,2,A,5,1.4337,M
y119,2,2,B,5,1.3374,M
y054,2,2,B,5,1.3485,M
y003,2,2,B,5,1.1955,M
y126,2,2,B,5,1.4048,M
y119,3,2,A,5,1.2523,M
y054,3,2,A,5,1.3453,M
y003,3,2,A,5,1.2587,M
y126,3,2,A,5,1.4539,M
y119,3,2,B,5,1.1624,M
y054,3,2,B,5,1.3659,M
y003,3,2,B,5,1.2421,M
y126,3,2,B,5,1.4214,M
y119,4,2,A,5,1.4325,M
y054,4,2,A,5,1.3465,M
y003,4,2,A,5,1.3974,M
y126,4,2,A,5,1.3698,M
y119,4,2,B,5,1.286,M
y054,4,2,B,5,1.3538,M
y003,4,2,B,5,1.3893,M
y126,4,2,B,5,1.3207,M
y119,5,2,A,5,1.4479,M
y054,5,2,A,5,1.3338,M
y003,5,2,A,5,1.1089,M
y126,5,2,A,5,1.4088,M
y119,5,2,B,5,1.3295,M
y054,5,2,B,5,1.3398,M
y003,5,2,B,5,1.0358,M
y126,5,2,B,5,1.3865,M
y119,6,2,A,5,1.4462,M
y054,6,2,A,5,1.3317,M
y003,6,2,A,5,1.0526,M
y126,6,2,A,5,1.4389,M
y119,6,2,B,5,1.2825,M
y054,6,2,B,5,1.3428,M
y003,6,2,B,5,0.9538,M
y126,6,2,B,5,1.405,M
y119,7,2,A,5,1.4401,M
y054,7,2,A,5,1.3003,M
y003,7,2,A,5,1.0885,M
y126,7,2,A,5,1.4335,M
y119,7,2,B,5,1.3518,M
y054,7,2,B,5,1.3206,M
y003,7,2,B,5,1.102,M
y126,7,2,B,5,1.4214,M
y119,8,2,A,5,1.3848,M
y054,8,2,A,5,1.3367,M
y003,8,2,A,5,1.2951,M
y126,8,2,A,5,0.1408,M
y119,8,2,B,5,1.2475,M
y054,8,2,B,5,1.3339,M
y003,8,2,B,5,1.3121,M
y126,8,2,B,5,0.1016,M
y119,9,2,A,5,1.4407,M
y054,9,2,A,5,0.5472,M
y003,9,2,A,5,0.9326,M
y126,9,2,A,5,1.4392,M
y119,9,2,B,5,1.3191,M
y054,9,2,B,5,0.5532,M
y003,9,2,B,5,0.8919,M
y126,9,2,B,5,1.4402,M
y119,10,2,A,5,1.4533,M
y054,10,2,A,5,1.3045,M
y003,10,2,A,5,1.4074,M
y126,10,2,A,5,1.3737,M
y119,10,2,B,5,1.3748,M
y054,10,2,B,5,1.2883,M
y003,10,2,B,5,1.4027,M
y126,10,2,B,5,1.3711,M
y119,11,2,A,5,1.4384,M
y054,11,2,A,5,1.337,M
y003,11,2,A,5,0.138,M
y126,11,2,A,5,1.3668,M
y119,11,2,B,5,1.3355,M
y054,11,2,B,5,1.324,M
y003,11,2,B,5,0.1645,M
y126,11,2,B,5,1.3255,M
y119,12,2,A,5,1.4277,M
y054,12,2,A,5,0.1114,M
y003,12,2,A,5,1.3751,M
y126,12,2,A,5,1.3229,M
y119,12,2,B,5,1.3584,M
y054,12,2,B,5,0.1155,M
y003,12,2,B,5,1.3888,M
y126,12,2,B,5,1.3281,M
