Strain,Replicate,TechRep,Drug,LevelEvolvedTo,Time,OD_24h,OD_48h,OD_72h,Person,,,,,,,,
y079,5,A,0.03,,t0,0.4341,1.0585,0.9957,Q,,,,,,,,
y079,6,A,0.03,,t0,0.6998,1.0876,1.0308,Q,,,,,,,,
y079,7,A,0.03,,t0,0.6417,1.0615,1.0032,Q,,,,,,,,
y079,8,A,0.03,,t0,0.6301,1.0868,1.0299,Q,,,,,,,,
y079,9,A,0.03,,t0,0.5336,1.0318,0.9857,Q,,,,,,,,
y079,10,A,0.03,,t0,0.9972,1.1744,1.1191,Q,,,,,,,,
y079,11,A,0.03,,t0,0.3278,0.7894,0.7841,Q,,,,,,,,
y079,12,A,0.03,,t0,0.1509,0.8269,1.0566,Q,,,,,,,,
y079,1,B,0.03,,t0,0.104,0.1292,0.0546,Q,,,,,,,,
y079,2,B,0.03,,t0,0.2146,0.932,0.8894,Q,,,,,,,,
y079,3,B,0.03,,t0,0.6233,1.125,1.0271,Q,,,,,,,,
y079,4,B,0.03,,t0,1.1016,1.1807,1.0718,Q,,,,,,,,
y079,5,B,0.03,,t0,0.68,1.1512,1.0425,Q,,,,,,,,
y079,6,B,0.03,,t0,0.8329,1.1479,1.0477,Q,,,,,,,,
y079,7,B,0.03,,t0,0.8945,1.2022,1.0959,Q,,,,,,,,
y079,8,B,0.03,,t0,0.8187,1.1214,1.0359,Q,,,,,,,,
y079,9,B,0.03,,t0,0.3135,0.8271,0.7632,Q,,,,,,,,
y079,10,B,0.03,,t0,0.7766,1.0539,0.9749,Q,,,,,,,,
y079,11,B,0.03,,t0,0.988,1.1212,1.0413,Q,,,,,,,,
y079,12,B,0.03,,t0,0.3284,1.2528,1.1877,Q,,,,,,,,
y079,1,A,0.12,,t0,0.103,0.1249,0.0539,Q,,,,,,,,
y079,2,A,0.12,,t0,0.1063,0.1412,0.0549,Q,,,,,,,,
y079,3,A,0.12,,t0,0.1071,0.2164,0.0561,Q,,,,,,,,
y079,4,A,0.12,,t0,0.1155,0.4214,0.983,Q,,,,,,,,
y079,5,A,0.12,,t0,0.1458,0.4962,0.5716,Q,,,,,,,,
y079,6,A,0.12,,t0,0.1058,0.144,0.1492,Q,,,,,,,,
y079,7,A,0.12,,t0,0.1057,0.1383,0.0627,Q,,,,,,,,
y079,8,A,0.12,,t0,0.109,0.1355,0.0592,Q,,,,,,,,
y079,9,A,0.12,,t0,0.1063,0.1341,0.0558,Q,,,,,,,,
y079,10,A,0.12,,t0,0.1093,0.1286,0.1938,Q,,,,,,,,
y079,11,A,0.12,,t0,0.1078,0.1266,0.0569,Q,,,,,,,,
y079,12,A,0.12,,t0,0.1057,0.1244,0.0549,Q,,,,,,,,
y079,1,B,0.12,,t0,0.1026,0.1073,0.0535,Q,,,,,,,,
y079,2,B,0.12,,t0,0.1039,0.1992,0.0552,Q,,,,,,,,
y079,3,B,0.12,,t0,0.1057,0.1335,0.0565,Q,,,,,,,,
y079,4,B,0.12,,t0,0.1077,0.255,0.7698,Q,,,,,,,,
y079,5,B,0.12,,t0,0.2174,0.6409,0.6366,Q,,,,,,,,
y079,6,B,0.12,,t0,0.3544,0.2424,0.059,Q,,,,,,,,
y079,7,B,0.12,,t0,0.3142,0.2114,0.0577,Q,,,,,,,,
y079,8,B,0.12,,t0,0.363,0.1761,0.2082,Q,,,,,,,,
y079,9,B,0.12,,t0,0.3345,0.1361,0.0556,Q,,,,,,,,
y079,10,B,0.12,,t0,0.2796,0.1194,0.0628,Q,,,,,,,,
y079,11,B,0.12,,t0,0.1755,0.1303,0.2996,Q,,,,,,,,
y079,12,B,0.12,,t0,0.1042,0.1107,0.0545,Q,,,,,,,,
y079,1,A,0.5,,t0,-0.3085,0.0898,0.0541,Q,,,,,,,,
y079,2,A,0.5,,t0,-0.0867,0.4005,0.0555,Q,,,,,,,,
y079,3,A,0.5,,t0,0.018,0.7373,0.448,Q,,,,,,,,
y079,4,A,0.5,,t0,-0.0755,0.8513,1.1343,Q,,,,,,,,
y079,5,A,0.5,,t0,0.0497,0.6561,0.7317,Q,,,,,,,,
y079,6,A,0.5,,t0,-0.1059,0.3617,0.6912,Q,,,,,,,,
y079,7,A,0.5,,t0,-0.1684,0.3585,0.9746,Q,,,,,,,,
y079,8,A,0.5,,t0,-0.304,0.3031,0.666,Q,,,,,,,,
y079,9,A,0.5,,t0,-0.152,0.2243,0.0562,Q,,,,,,,,
y079,10,A,0.5,,t0,-0.305,0.2835,0.0777,Q,,,,,,,,
y079,11,A,0.5,,t0,-0.3054,0.1267,0.0852,Q,,,,,,,,
y079,12,A,0.5,,t0,-0.3056,0.1074,0.0553,Q,,,,,,,,
y079,1,B,0.5,,t0,0.102,0.1061,0.0552,Q,,,,,,,,
y079,2,B,0.5,,t0,0.3132,0.1117,0.0541,Q,,,,,,,,
y079,3,B,0.5,,t0,0.3695,0.123,0.0755,Q,,,,,,,,
y079,4,B,0.5,,t0,0.3407,0.1818,0.3494,Q,,,,,,,,
y079,5,B,0.5,,t0,0.3334,0.6211,0.7626,Q,,,,,,,,
y079,6,B,0.5,,t0,0.1631,0.1299,0.0735,Q,,,,,,,,
y079,7,B,0.5,,t0,0.3467,0.5972,0.0559,Q,,,,,,,,
y079,8,B,0.5,,t0,0.3329,0.1216,0.1235,Q,,,,,,,,
y079,9,B,0.5,,t0,0.11,0.4438,0.0577,Q,,,,,,,,
y079,10,B,0.5,,t0,0.4449,0.5452,0.0584,Q,,,,,,,,
y079,11,B,0.5,,t0,0.2917,0.2438,0.0557,Q,,,,,,,,
y079,12,B,0.5,,t0,0.105,0.1085,0.0547,Q,,,,,,,,
y079,1,A,2,,t0,0.1038,0.1109,0.0549,Q,,,,,,,,
y079,2,A,2,,t0,0.1023,0.1219,0.0551,Q,,,,,,,,
y079,3,A,2,,t0,0.1034,0.1195,0.0569,Q,,,,,,,,
y079,4,A,2,,t0,0.1085,0.4252,0.9828,Q,,,,,,,,
y079,5,A,2,,t0,0.1162,0.4613,0.5464,Q,,,,,,,,
y079,6,A,2,,t0,0.1082,0.1305,0.1331,Q,,,,,,,,
y079,7,A,2,,t0,0.1039,0.1158,0.056,Q,,,,,,,,
y079,8,A,2,,t0,0.1059,0.1843,0.5931,Q,,,,,,,,
y079,9,A,2,,t0,0.11,0.1117,0.0556,Q,,,,,,,,
y079,10,A,2,,t0,0.1057,0.1109,0.0678,Q,,,,,,,,
y079,11,A,2,,t0,0.1009,0.1093,0.0563,Q,,,,,,,,
y079,12,A,2,,t0,0.1022,0.1076,0.055,Q,,,,,,,,
y079,1,B,2,,t0,0.1011,0.222,0.0541,Q,,,,,,,,
y079,2,B,2,,t0,0.1042,0.1176,0.0545,Q,,,,,,,,
y079,3,B,2,,t0,0.1065,0.1179,0.0559,Q,,,,,,,,
y079,4,B,2,,t0,0.1107,0.2839,0.712,Q,,,,,,,,
y079,5,B,2,,t0,0.1448,0.5736,0.6638,Q,,,,,,,,
y079,6,B,2,,t0,0.1112,0.1244,0.0838,Q,,,,,,,,
y079,7,B,2,,t0,0.1047,0.1177,0.0816,Q,,,,,,,,
y079,8,B,2,,t0,0.1104,0.2393,0.688,Q,,,,,,,,
y079,9,B,2,,t0,0.1045,0.1164,0.0551,Q,,,,,,,,
y079,10,B,2,,t0,0.1026,0.1123,0.1229,Q,,,,,,,,
y079,11,B,2,,t0,0.0938,0.1045,0.0584,Q,,,,,,,,
y079,12,B,2,,t0,0.1006,0.1039,0.06,Q,,,,,,,,
y079,1,A,0,0.12,t5,0.5465,1.1964,1.1095,Q,,,,,,,,
y079,2,A,0,0.12,t5,0.1653,1.2512,1.1919,Q,,,,,,,,
y079,3,A,0,0.12,t5,0.9205,1.2123,1.1043,Q,,,,,,,,
y079,4,A,0,0.12,t5,0.4265,1.1985,1.0953,Q,,,,,,,,
y079,5,A,0,0.12,t5,0.6582,1.1707,1.0711,Q,,,,,,,,
y079,6,A,0,0.12,t5,0.7618,1.245,1.1322,Q,,,,,,,,
y079,7,A,0,0.12,t5,1.0447,1.3011,1.1814,Q,,,,,,,,
y079,8,A,0,0.12,t5,0.5021,1.2845,1.1636,Q,,,,,,,,
y079,9,A,0,0.12,t5,1.1048,1.2763,1.1667,Q,,,,,,,,
y079,10,A,0,0.12,t5,0.1391,0.9886,1.407,Q,,,,,,,,
y079,11,A,0,0.12,t5,0.1171,0.1493,0.0552,Q,,,,,,,,
y079,12,A,0,0.12,t5,0.1338,0.8369,0.876,Q,,,,,,,,
y079,1,B,0,0.12,t5,0.2532,1.083,1.0258,Q,,,,,,,,
y079,2,B,0,0.12,t5,1.0079,1.3243,1.2287,Q,,,,,,,,
y079,3,B,0,0.12,t5,0.4974,1.1382,1.0301,Q,,,,,,,,
y079,4,B,0,0.12,t5,0.6114,1.2125,1.0953,Q,,,,,,,,
y079,5,B,0,0.12,t5,0.3746,1.0869,0.9959,Q,,,,,,,,
y079,6,B,0,0.12,t5,0.7205,1.2536,1.1319,Q,,,,,,,,
y079,7,B,0,0.12,t5,1.1413,1.3033,1.1769,Q,,,,,,,,
y079,8,B,0,0.12,t5,0.1525,1.0373,0.9434,Q,,,,,,,,
y079,9,B,0,0.12,t5,0.984,1.2523,1.1343,Q,,,,,,,,
y079,10,B,0,0.12,t5,0.1199,0.2199,0.0527,Q,,,,,,,,
y079,11,B,0,0.12,t5,0.121,0.1415,0.0558,Q,,,,,,,,
y079,12,B,0,0.12,t5,0.6251,1.1853,1.116,Q,,,,,,,,
y079,1,A,0.03,0.12,t5,0.8691,1.2292,1.15,Q,,,,,,,,
y079,2,A,0.03,0.12,t5,0.1133,1.0951,0.9798,Q,,,,,,,,
y079,3,A,0.03,0.12,t5,0.2593,1.0469,0.9162,Q,,,,,,,,
y079,4,A,0.03,0.12,t5,0.9785,1.2606,1.1512,Q,,,,,,,,
y079,5,A,0.03,0.12,t5,0.1932,0.6555,0.6434,Q,,,,,,,,
y079,6,A,0.03,0.12,t5,0.2573,0.9804,0.9248,Q,,,,,,,,
y079,7,A,0.03,0.12,t5,0.7714,1.2235,1.1184,Q,,,,,,,,
y079,8,A,0.03,0.12,t5,0.6825,1.2155,1.1213,Q,,,,,,,,
y079,9,A,0.03,0.12,t5,1.0352,1.2137,1.1181,Q,,,,,,,,
y079,10,A,0.03,0.12,t5,0.108,0.1487,0.0558,Q,,,,,,,,
y079,11,A,0.03,0.12,t5,0.1056,0.1328,0.0565,Q,,,,,,,,
y079,12,A,0.03,0.12,t5,0.7839,1.1683,1.0867,Q,,,,,,,,
y079,1,B,0.03,0.12,t5,0.4873,1.2014,1.1199,Q,,,,,,,,
y079,2,B,0.03,0.12,t5,0.2123,1.0353,0.9628,Q,,,,,,,,
y079,3,B,0.03,0.12,t5,0.6011,1.1202,1.0212,Q,,,,,,,,
y079,4,B,0.03,0.12,t5,0.378,1.2521,1.1386,Q,,,,,,,,
y079,5,B,0.03,0.12,t5,0.9504,1.2261,1.1225,Q,,,,,,,,
y079,6,B,0.03,0.12,t5,0.1218,0.4632,0.4546,Q,,,,,,,,
y079,7,B,0.03,0.12,t5,0.6805,1.2193,1.1106,Q,,,,,,,,
y079,8,B,0.03,0.12,t5,0.7182,1.2519,1.1422,Q,,,,,,,,
y079,9,B,0.03,0.12,t5,0.2719,1.0589,0.9853,Q,,,,,,,,
y079,10,B,0.03,0.12,t5,0.1074,0.1403,0.0552,Q,,,,,,,,
y079,11,B,0.03,0.12,t5,0.1056,0.1449,0.0565,Q,,,,,,,,
y079,12,B,0.03,0.12,t5,1.0155,1.2402,1.1689,Q,,,,,,,,
y079,1,A,0.12,0.12,t5,0.1052,0.5818,0.7958,Q,,,,,,,,
y079,2,A,0.12,0.12,t5,0.3114,0.531,0.2361,Q,,,,,,,,
y079,3,A,0.12,0.12,t5,0.3618,0.76,1.1899,Q,,,,,,,,
y079,4,A,0.12,0.12,t5,0.1785,0.7195,0.9688,Q,,,,,,,,
y079,5,A,0.12,0.12,t5,0.2359,1.0971,1.111,Q,,,,,,,,
y079,6,A,0.12,0.12,t5,0.2241,0.2915,0.2935,Q,,,,,,,,
y079,7,A,0.12,0.12,t5,0.3162,0.2315,0.3075,Q,,,,,,,,
y079,8,A,0.12,0.12,t5,0.2017,1.1877,1.0983,Q,,,,,,,,
y079,9,A,0.12,0.12,t5,0.2436,1.2144,1.1594,Q,,,,,,,,
y079,10,A,0.12,0.12,t5,0.1063,0.4396,0.0568,Q,,,,,,,,
y079,11,A,0.12,0.12,t5,0.1016,0.232,0.0554,Q,,,,,,,,
y079,12,A,0.12,0.12,t5,0.1069,0.1156,0.075,Q,,,,,,,,
y079,1,B,0.12,0.12,t5,0.1039,0.1099,0.0598,Q,,,,,,,,
y079,2,B,0.12,0.12,t5,0.1039,0.2413,0.2212,Q,,,,,,,,
y079,3,B,0.12,0.12,t5,0.1054,0.1749,0.064,Q,,,,,,,,
y079,4,B,0.12,0.12,t5,0.1204,1.2859,1.3085,Q,,,,,,,,
y079,5,B,0.12,0.12,t5,0.117,1.0894,1.1192,Q,,,,,,,,
y079,6,B,0.12,0.12,t5,0.1063,0.3202,0.2478,Q,,,,,,,,
y079,7,B,0.12,0.12,t5,0.1064,0.5093,1.0134,Q,,,,,,,,
y079,8,B,0.12,0.12,t5,0.1364,1.2055,1.0969,Q,,,,,,,,
y079,9,B,0.12,0.12,t5,0.1199,0.7992,1.0602,Q,,,,,,,,
y079,10,B,0.12,0.12,t5,0.1061,0.2621,0.0572,Q,,,,,,,,
y079,11,B,0.12,0.12,t5,0.1022,0.1249,0.0564,Q,,,,,,,,
y079,12,B,0.12,0.12,t5,0.1007,0.2144,0.6582,Q,,,,,,,,
y079,1,A,0.5,0.12,t5,0.0807,0.0725,0.052,Q,,,,,,,,
y079,2,A,0.5,0.12,t5,0.2058,0.117,0.0541,Q,,,,,,,,
y079,3,A,0.5,0.12,t5,0.2583,0.3156,0.3186,Q,,,,,,,,
y079,4,A,0.5,0.12,t5,0.2815,1.2156,1.2153,Q,,,,,,,,
y079,5,A,0.5,0.12,t5,0.3379,0.9292,1.0519,Q,,,,,,,,
y079,6,A,0.5,0.12,t5,0.5175,0.6562,0.0656,Q,,,,,,,,
y079,7,A,0.5,0.12,t5,0.3981,1.0196,0.8954,Q,,,,,,,,
y079,8,A,0.5,0.12,t5,0.3718,0.4065,0.1889,Q,,,,,,,,
y079,9,A,0.5,0.12,t5,0.2049,0.1199,0.8346,Q,,,,,,,,
y079,10,A,0.5,0.12,t5,0.3351,0.6449,0.2105,Q,,,,,,,,
y079,11,A,0.5,0.12,t5,0.2116,0.3791,0.0552,Q,,,,,,,,
y079,12,A,0.5,0.12,t5,0.0805,0.1094,0.0548,Q,,,,,,,,
y079,1,B,0.5,0.12,t5,0.1027,0.3318,0.0552,Q,,,,,,,,
y079,2,B,0.5,0.12,t5,0.2077,0.2701,0.0549,Q,,,,,,,,
y079,3,B,0.5,0.12,t5,0.2813,0.1024,0.0546,Q,,,,,,,,
y079,4,B,0.5,0.12,t5,0.2653,0.1208,0.0997,Q,,,,,,,,
y079,5,B,0.5,0.12,t5,0.2553,0.5424,0.8136,Q,,,,,,,,
y079,6,B,0.5,0.12,t5,0.2933,0.2829,0.0585,Q,,,,,,,,
y079,7,B,0.5,0.12,t5,0.1692,0.4442,0.8404,Q,,,,,,,,
y079,8,B,0.5,0.12,t5,0.1121,0.3863,0.535,Q,,,,,,,,
y079,9,B,0.5,0.12,t5,0.1027,0.5139,0.2667,Q,,,,,,,,
y079,10,B,0.5,0.12,t5,0.1483,0.3931,0.0563,Q,,,,,,,,
y079,11,B,0.5,0.12,t5,0.1411,0.3954,0.0556,Q,,,,,,,,
y079,12,B,0.5,0.12,t5,0.0995,0.1036,0.0546,Q,,,,,,,,
y079,1,A,2,0.12,t5,0.1014,0.1116,0.0546,Q,,,,,,,,
y079,2,A,2,0.12,t5,0.1019,0.1222,0.0542,Q,,,,,,,,
y079,3,A,2,0.12,t5,0.1021,0.1312,0.0553,Q,,,,,,,,
y079,4,A,2,0.12,t5,0.1055,0.1384,0.0836,Q,,,,,,,,
y079,5,A,2,0.12,t5,0.0996,0.3606,0.7944,Q,,,,,,,,
y079,6,A,2,0.12,t5,0.1046,0.1283,0.5836,Q,,,,,,,,
y079,7,A,2,0.12,t5,0.1035,0.1687,1.0476,Q,,,,,,,,
y079,8,A,2,0.12,t5,0.1058,0.1294,0.064,Q,,,,,,,,
y079,9,A,2,0.12,t5,0.1059,0.1342,0.7186,Q,,,,,,,,
y079,10,A,2,0.12,t5,0.1015,0.1234,0.0551,Q,,,,,,,,
y079,11,A,2,0.12,t5,0.1019,0.1171,0.0537,Q,,,,,,,,
y079,12,A,2,0.12,t5,0.1005,0.1059,0.1013,Q,,,,,,,,
y079,1,B,2,0.12,t5,0.1002,0.1042,0.089,Q,,,,,,,,
y079,2,B,2,0.12,t5,0.1007,0.1122,0.0552,Q,,,,,,,,
y079,3,B,2,0.12,t5,0.1036,0.1201,0.0554,Q,,,,,,,,
y079,4,B,2,0.12,t5,0.105,0.2548,0.9234,Q,,,,,,,,
y079,5,B,2,0.12,t5,0.1106,1.0811,1.146,Q,,,,,,,,
y079,6,B,2,0.12,t5,0.1031,0.1176,0.0524,Q,,,,,,,,
y079,7,B,2,0.12,t5,0.1053,0.4818,1.2633,Q,,,,,,,,
y079,8,B,2,0.12,t5,0.1066,0.1248,0.0648,Q,,,,,,,,
y079,9,B,2,0.12,t5,0.1066,0.1431,0.3518,Q,,,,,,,,
y079,10,B,2,0.12,t5,0.1055,0.1159,0.0536,Q,,,,,,,,
y079,11,B,2,0.12,t5,0.1,0.113,0.0539,Q,,,,,,,,
y079,12,B,2,0.12,t5,0.1066,0.1079,0.0611,Q,,,,,,,,
y074,1,A,0,,t0,0.1065,1.2196,1.1635,Q,,,,,,,,
y074,2,A,0,,t0,1.1478,1.2464,1.1711,Q,,,,,,,,
y074,3,A,0,,t0,1.1267,1.2236,1.1442,Q,,,,,,,,
y074,4,A,0,,t0,1.1993,1.2627,1.1732,Q,,,,,,,,
y074,5,A,0,,t0,1.1906,1.231,1.1435,Q,,,,,,,,
y074,6,A,0,,t0,1.1464,1.2165,1.1345,Q,,,,,,,,
y074,7,A,0,,t0,1.1691,1.2234,1.141,Q,,,,,,,,
y074,8,A,0,,t0,1.2037,1.2275,1.1504,Q,,,,,,,,
y074,9,A,0,,t0,1.1805,1.2117,1.1224,Q,,,,,,,,
y074,10,A,0,,t0,1.1723,1.2128,1.1404,Q,,,,,,,,
y074,11,A,0,,t0,1.1608,1.1886,1.1259,Q,,,,,,,,
y074,12,A,0,,t0,1.1422,1.1915,1.1375,Q,,,,,,,,
y074,1,B,0,,t0,0.1084,1.1702,1.1001,Q,,,,,,,,
y074,2,B,0,,t0,0.9563,1.2398,1.1453,Q,,,,,,,,
y074,3,B,0,,t0,1.01,1.233,1.1297,Q,,,,,,,,
y074,4,B,0,,t0,0.9451,1.2491,1.1495,Q,,,,,,,,
y074,5,B,0,,t0,1.0969,1.2386,1.139,Q,,,,,,,,
y074,6,B,0,,t0,1.1012,1.2451,1.1462,Q,,,,,,,,
y074,7,B,0,,t0,1.133,1.238,1.1369,Q,,,,,,,,
y074,8,B,0,,t0,1.1779,1.2462,1.1507,Q,,,,,,,,
y074,9,B,0,,t0,1.1273,1.2273,1.1327,Q,,,,,,,,
y074,10,B,0,,t0,1.1355,1.2333,1.1422,Q,,,,,,,,
y074,11,B,0,,t0,1.1049,1.2247,1.1331,Q,,,,,,,,
y074,12,B,0,,t0,1.1435,1.2271,1.1536,Q,,,,,,,,
y074,1,A,0.03,,t0,0.1039,0.1187,0.055,Q,,,,,,,,
y074,2,A,0.03,,t0,0.1104,0.1559,0.1504,Q,,,,,,,,
y074,3,A,0.03,,t0,0.1455,0.2953,0.253,Q,,,,,,,,
y074,4,A,0.03,,t0,0.1269,0.2505,0.2433,Q,,,,,,,,
y074,5,A,0.03,,t0,0.128,0.2789,0.2533,Q,,,,,,,,
y074,6,A,0.03,,t0,0.1363,0.36,0.2986,Q,,,,,,,,
y074,7,A,0.03,,t0,0.1384,0.2837,0.2765,Q,,,,,,,,
y074,8,A,0.03,,t0,0.1727,0.3343,0.3164,Q,,,,,,,,
y074,9,A,0.03,,t0,0.1407,0.2733,0.2393,Q,,,,,,,,
y074,10,A,0.03,,t0,0.1255,0.2055,0.2025,Q,,,,,,,,
y074,11,A,0.03,,t0,0.1146,0.2807,0.3032,Q,,,,,,,,
y074,12,A,0.03,,t0,0.124,0.3118,0.3097,Q,,,,,,,,
y074,1,B,0.03,,t0,0.1059,0.126,0.0541,Q,,,,,,,,
y074,2,B,0.03,,t0,0.1106,0.2203,0.2318,Q,,,,,,,,
y074,3,B,0.03,,t0,0.1173,0.257,0.2161,Q,,,,,,,,
y074,4,B,0.03,,t0,0.1151,0.262,0.1708,Q,,,,,,,,
y074,5,B,0.03,,t0,0.1168,0.3401,0.277,Q,,,,,,,,
y074,6,B,0.03,,t0,0.1195,0.3849,0.2723,Q,,,,,,,,
y074,7,B,0.03,,t0,0.1276,0.2901,0.2456,Q,,,,,,,,
y074,8,B,0.03,,t0,0.1263,0.4384,0.3352,Q,,,,,,,,
y074,9,B,0.03,,t0,0.2301,0.4102,0.2989,Q,,,,,,,,
y074,10,B,0.03,,t0,0.1653,0.1774,0.1777,Q,,,,,,,,
y074,11,B,0.03,,t0,0.108,0.2415,0.2675,Q,,,,,,,,
y074,12,B,0.03,,t0,0.1132,0.3056,0.3069,Q,,,,,,,,
y074,1,A,0.12,,t0,0.1042,0.1197,0.0544,Q,,,,,,,,
y074,2,A,0.12,,t0,0.1134,0.1881,0.1408,Q,,,,,,,,
y074,3,A,0.12,,t0,0.1233,0.26,0.2176,Q,,,,,,,,
y074,4,A,0.12,,t0,0.1772,0.2656,0.211,Q,,,,,,,,
y074,5,A,0.12,,t0,0.2015,0.2455,0.2219,Q,,,,,,,,
y074,6,A,0.12,,t0,0.2464,0.3515,0.298,Q,,,,,,,,
y074,7,A,0.12,,t0,0.1417,0.4945,0.3188,Q,,,,,,,,
y074,8,A,0.12,,t0,0.1547,0.3614,0.3334,Q,,,,,,,,
y074,9,A,0.12,,t0,0.1345,0.2701,0.2496,Q,,,,,,,,
y074,10,A,0.12,,t0,0.1184,0.1799,0.1863,Q,,,,,,,,
y074,11,A,0.12,,t0,0.122,0.2064,0.2112,Q,,,,,,,,
y074,12,A,0.12,,t0,0.1251,0.1732,0.1932,Q,,,,,,,,
y074,1,B,0.12,,t0,0.1031,0.1108,0.0543,Q,,,,,,,,
y074,2,B,0.12,,t0,0.1083,0.2636,0.1616,Q,,,,,,,,
y074,3,B,0.12,,t0,0.1389,0.4186,0.2519,Q,,,,,,,,
y074,4,B,0.12,,t0,0.2548,0.2475,0.2467,Q,,,,,,,,
y074,5,B,0.12,,t0,0.1147,0.5293,0.2031,Q,,,,,,,,
y074,6,B,0.12,,t0,0.1235,0.3273,0.269,Q,,,,,,,,
y074,7,B,0.12,,t0,0.1136,0.2852,0.2181,Q,,,,,,,,
y074,8,B,0.12,,t0,0.145,0.456,0.2362,Q,,,,,,,,
y074,9,B,0.12,,t0,0.1145,0.2858,0.1778,Q,,,,,,,,
y074,10,B,0.12,,t0,0.1155,0.184,0.2025,Q,,,,,,,,
y074,11,B,0.12,,t0,0.1514,0.1889,0.2034,Q,,,,,,,,
y074,12,B,0.12,,t0,0.112,0.2548,0.2702,Q,,,,,,,,
y074,1,A,0.5,,t0,-0.3054,0.095,0.054,Q,,,,,,,,
y074,2,A,0.5,,t0,-0.1067,0.1348,0.1187,Q,,,,,,,,
y074,3,A,0.5,,t0,-0.1041,0.1854,0.1808,Q,,,,,,,,
y074,4,A,0.5,,t0,-0.0718,0.298,0.2374,Q,,,,,,,,
y074,5,A,0.5,,t0,-0.0712,0.5294,0.4077,Q,,,,,,,,
y074,6,A,0.5,,t0,-0.1437,0.5159,0.3435,Q,,,,,,,,
y074,7,A,0.5,,t0,-0.0644,0.3926,0.2452,Q,,,,,,,,
y074,8,A,0.5,,t0,-0.1842,0.4499,0.4855,Q,,,,,,,,
y074,9,A,0.5,,t0,-0.2651,0.4922,0.2911,Q,,,,,,,,
y074,10,A,0.5,,t0,-0.2896,0.2668,0.2596,Q,,,,,,,,
y074,11,A,0.5,,t0,-0.2859,0.3306,0.3376,Q,,,,,,,,
y074,12,A,0.5,,t0,-0.2754,0.1989,0.2,Q,,,,,,,,
y074,1,B,0.5,,t0,0.1014,0.4541,0.0555,Q,,,,,,,,
y074,2,B,0.5,,t0,0.3317,0.2434,0.2618,Q,,,,,,,,
y074,3,B,0.5,,t0,0.273,0.473,0.2251,Q,,,,,,,,
y074,4,B,0.5,,t0,0.187,0.2242,0.1984,Q,,,,,,,,
y074,5,B,0.5,,t0,0.331,0.2009,0.1691,Q,,,,,,,,
y074,6,B,0.5,,t0,0.5018,0.3185,0.3033,Q,,,,,,,,
y074,7,B,0.5,,t0,0.3702,0.4834,0.2915,Q,,,,,,,,
y074,8,B,0.5,,t0,0.5204,0.4935,0.2725,Q,,,,,,,,
y074,9,B,0.5,,t0,0.464,0.2297,0.188,Q,,,,,,,,
y074,10,B,0.5,,t0,0.65,0.2136,0.2307,Q,,,,,,,,
y074,11,B,0.5,,t0,0.4714,0.2315,0.228,Q,,,,,,,,
y074,12,B,0.5,,t0,0.1146,0.3,0.3599,Q,,,,,,,,
y074,1,A,2,,t0,0.1013,0.1299,0.0613,Q,,,,,,,,
y074,2,A,2,,t0,0.1108,0.1623,0.1719,Q,,,,,,,,
y074,3,A,2,,t0,0.1163,0.2728,0.2376,Q,,,,,,,,
y074,4,A,2,,t0,0.1278,0.2755,0.2728,Q,,,,,,,,
y074,5,A,2,,t0,0.1583,0.2943,0.2602,Q,,,,,,,,
y074,6,A,2,,t0,0.143,0.2904,0.2378,Q,,,,,,,,
y074,7,A,2,,t0,0.1359,0.3045,0.2984,Q,,,,,,,,
y074,8,A,2,,t0,0.1431,0.3313,0.3131,Q,,,,,,,,
y074,9,A,2,,t0,0.1366,0.2662,0.2507,Q,,,,,,,,
y074,10,A,2,,t0,0.1174,0.1887,0.1868,Q,,,,,,,,
y074,11,A,2,,t0,0.1093,0.2142,0.2013,Q,,,,,,,,
y074,12,A,2,,t0,0.1148,0.2032,0.211,Q,,,,,,,,
y074,1,B,2,,t0,0.1015,0.1229,0.0549,Q,,,,,,,,
y074,2,B,2,,t0,0.107,0.1254,0.0907,Q,,,,,,,,
y074,3,B,2,,t0,0.116,0.2442,0.1974,Q,,,,,,,,
y074,4,B,2,,t0,0.1107,0.2383,0.2064,Q,,,,,,,,
y074,5,B,2,,t0,0.108,0.2218,0.1985,Q,,,,,,,,
y074,6,B,2,,t0,0.1239,0.317,0.2916,Q,,,,,,,,
y074,7,B,2,,t0,0.1121,0.217,0.2085,Q,,,,,,,,
y074,8,B,2,,t0,0.1201,0.2175,0.2093,Q,,,,,,,,
y074,9,B,2,,t0,0.1075,0.1409,0.1291,Q,,,,,,,,
y074,10,B,2,,t0,0.1092,0.2103,0.1759,Q,,,,,,,,
y074,11,B,2,,t0,0.0986,0.1244,0.1275,Q,,,,,,,,
y074,12,B,2,,t0,0.1196,0.2035,0.1977,Q,,,,,,,,
y074,1,A,0,0.12,t5,1.0409,1.2112,1.1109,Q,,,,,,,,
y074,2,A,0,0.12,t5,1.1869,1.2473,1.1377,Q,,,,,,,,
y074,3,A,0,0.12,t5,0.1213,0.353,0.0559,Q,,,,,,,,
y074,4,A,0,0.12,t5,1.0844,1.2807,1.1557,Q,,,,,,,,
y074,5,A,0,0.12,t5,0.8243,1.2404,1.1199,Q,,,,,,,,
y074,6,A,0,0.12,t5,0.1282,0.3919,0.0554,Q,,,,,,,,
